ID,2_1,2_2,2_3,2_4,2_5,2_all,3_1,3_2,3_3,3_all,4_1,4_2,4_3,4_4,4_all,5_1,5_2,5_3,5_4,5_5,5_6,5_all,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_all,7_1,7_2,7_3,7_4,7_all,all
131,2,2,2,2,2,2,2,2,2,2,4,5,5,5,4,4,4,5,4,2,2,2,1,1,3,3,4,4,5,3,1,4,3,4,2,3,2,4
132,2,3,2,2,4,3,5,5,4,4,4,5,5,5,4,5,5,5,5,3,4,4,3,4,2,3,5,5,2,3,3,3,5,5,3,3,3,4
133,4,4,4,3,4,3,2,2,3,3,4,4,2,2,3,4,4,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,3,3,3
134,4,4,4,3,4,4,4,1,3,2,5,4,5,3,4,5,5,4,4,3,3,2,3,3,3,4,4,5,4,4,3,3,5,3,4,4,4,3
135,4,4,4,3,4,4,4,4,4,4,5,5,5,4,5,5,5,4,5,3,3,3,3,3,1,3,4,5,4,3,3,3,4,4,5,4,4,4
136,4,3,4,3,4,2,3,2,3,3,4,5,1,3,3,4,2,5,5,4,3,3,3,3,3,3,5,4,3,2,3,3,2,2,3,3,3,4
137,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,3,5,4,4,4,4,5,5,1,3,5,5
138,5,4,5,4,4,5,4,4,4,4,3,5,4,4,4,5,5,5,4,3,3,3,4,3,3,4,3,4,4,4,4,4,5,5,4,4,4,4
139,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2,3,3,3
140,5,5,5,4,5,5,4,4,3,2,5,5,5,4,5,5,4,5,5,5,4,4,3,3,3,4,3,4,4,4,4,4,4,4,5,5,5,3
141,3,3,3,5,4,4,5,4,4,4,5,5,5,4,5,5,5,5,4,4,4,4,4,4,1,3,5,5,3,4,4,5,4,3,4,4,5,4
142,5,4,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,3
143,3,4,4,4,4,4,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,4,3,3,4,4,4,3,4,1,2
144,3,4,3,2,4,3,2,3,4,4,3,4,5,4,3,4,4,4,5,3,3,3,2,3,3,5,4,4,5,4,3,4,4,4,5,3,4,4
145,4,4,4,5,4,4,4,2,4,3,4,5,4,5,4,5,5,5,4,4,3,2,3,2,5,3,5,4,4,3,3,4,4,3,4,4,4,3
146,3,4,4,4,5,4,2,3,5,4,4,4,5,3,5,5,4,5,5,3,3,3,2,2,3,2,3,4,3,3,3,3,4,3,2,3,3,3
147,4,3,3,3,2,3,4,4,3,3,4,5,5,4,4,4,4,5,4,2,3,3,2,2,2,3,4,5,3,4,4,3,2,2,4,1,3,3
148,3,5,5,5,4,3,5,5,3,4,5,5,2,2,5,5,5,5,5,5,5,4,4,3,4,5,5,5,4,4,4,4,4,4,4,5,4,3
149,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
150,3,5,2,4,4,4,4,4,4,3,4,5,5,4,5,4,4,5,4,4,3,2,3,3,2,2,4,4,3,4,3,2,5,4,2,3,3,4
151,2,5,3,4,4,3,3,3,3,3,4,4,2,3,4,5,5,5,5,5,5,5,3,3,2,4,4,5,5,4,3,4,5,5,1,3,3,2
152,4,4,4,4,4,4,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,5
153,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4
154,4,4,4,4,4,4,4,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,5,4,5,4,4,5,5,3,4,4,5
155,2,4,3,4,3,4,4,3,3,3,4,4,2,4,3,4,4,4,4,4,4,4,3,3,2,4,4,3,2,3,4,3,2,3,4,4,4,4
156,3,2,3,4,4,4,4,4,4,4,4,5,4,3,4,4,4,5,4,4,4,4,4,3,2,3,4,4,2,2,3,3,2,2,3,2,3,3
157,4,4,4,4,4,3,4,3,3,4,3,5,5,4,5,4,4,5,5,5,5,5,4,3,3,4,3,4,4,4,4,4,4,4,5,4,5,4
158,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,3,4,4,4,4,4,4
159,3,4,3,4,3,3,4,4,4,3,3,4,5,4,3,4,4,4,4,3,3,3,4,4,2,4,4,4,3,3,4,3,3,3,2,2,2,4
160,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,1,4,5,5,4,5,5,5,5,5,5,4,5,4
161,3,4,4,4,3,4,5,5,5,5,5,5,3,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5
162,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,3,3,4
163,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5,5,5,5,4,4,3,4,3,3,4,5,5,4,4,3,3,5,5,2,2,4,5
164,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3
165,4,4,4,4,4,4,4,4,4,4,3,5,5,3,4,5,5,5,4,4,4,3,4,4,1,3,4,4,4,4,4,4,4,4,4,3,3,3
166,1,1,2,1,4,1,4,4,4,4,3,5,5,3,4,5,4,5,5,5,5,2,4,3,5,5,4,4,4,4,4,3,4,4,5,5,4,5
167,4,4,4,4,4,4,2,2,2,2,3,5,5,4,3,5,5,5,4,5,4,2,2,2,3,4,4,5,4,4,4,4,5,4,4,4,4,4
168,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,5,5,5,5,4,4,3,2,2,3,4,5,5,4,5,4,5,5,5,2,4,4,5
169,3,4,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,5,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3
170,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,1,5,5,5,5,5,4,5,5,5,5,4,5,5
